"country","year","sex","age","sucides_100k_pop","gdp_per_capita"
"Albania",1987,"male","15-24 years","6.71","796"
"Albania",1987,"male","35-54 years","5.19","796"
"Albania",1987,"female","15-24 years","4.83","796"
"Albania",1987,"male","75+ years","4.59","796"
"Albania",1987,"male","25-34 years","3.28","796"
"Albania",1987,"female","75+ years","2.81","796"
"Albania",1987,"female","35-54 years","2.15","796"
"Albania",1987,"female","25-34 years","1.56","796"
"Albania",1987,"male","55-74 years","0.73","796"
"Albania",1987,"female","5-14 years","0","796"
"Albania",1987,"female","55-74 years","0","796"
"Albania",1987,"male","5-14 years","0","796"
"Albania",1988,"female","75+ years","5.49","769"
"Albania",1988,"male","15-24 years","5.33","769"
"Albania",1988,"male","75+ years","4.48","769"
"Albania",1988,"male","35-54 years","4.46","769"
"Albania",1988,"male","55-74 years","2.85","769"
"Albania",1988,"female","15-24 years","2.71","769"
"Albania",1988,"female","55-74 years","2.03","769"
"Albania",1988,"female","25-34 years","1.91","769"
"Albania",1988,"male","25-34 years","1.79","769"
"Albania",1988,"female","35-54 years","1.41","769"
"Albania",1988,"female","5-14 years","0","769"
"Albania",1988,"male","5-14 years","0","769"
"Albania",1989,"male","75+ years","8.89","833"
"Albania",1989,"male","25-34 years","6.35","833"
"Albania",1989,"male","35-54 years","4.71","833"
"Albania",1989,"male","55-74 years","4.22","833"
"Albania",1989,"male","15-24 years","3.71","833"
"Albania",1989,"female","35-54 years","2.43","833"
"Albania",1989,"female","15-24 years","1.67","833"
"Albania",1989,"female","25-34 years","0.75","833"
"Albania",1989,"female","55-74 years","0.67","833"
"Albania",1989,"female","5-14 years","0","833"
"Albania",1989,"female","75+ years","0","833"
"Albania",1989,"male","5-14 years","0","833"
"Albania",1992,"male","35-54 years","3.49","251"
"Albania",1992,"male","15-24 years","3.41","251"
"Albania",1992,"male","55-74 years","3.13","251"
"Albania",1992,"male","25-34 years","2.85","251"
"Albania",1992,"female","15-24 years","2.39","251"
"Albania",1992,"female","25-34 years","1.5","251"
"Albania",1992,"female","35-54 years","0.62","251"
"Albania",1992,"female","55-74 years","0.61","251"
"Albania",1992,"female","5-14 years","0","251"
"Albania",1992,"female","75+ years","0","251"
"Albania",1992,"male","5-14 years","0","251"
"Albania",1992,"male","75+ years","0","251"
"Albania",1993,"male","15-24 years","7.4","437"
"Albania",1993,"male","55-74 years","4.24","437"
"Albania",1993,"male","75+ years","4.13","437"
"Albania",1993,"male","25-34 years","3.91","437"
"Albania",1993,"female","15-24 years","3.51","437"
"Albania",1993,"male","35-54 years","2.85","437"
"Albania",1993,"female","25-34 years","2.67","437"
"Albania",1993,"female","35-54 years","2.11","437"
"Albania",1993,"female","55-74 years","1.18","437"
"Albania",1993,"female","5-14 years","0.29","437"
"Albania",1993,"male","5-14 years","0.27","437"
"Albania",1993,"female","75+ years","0","437"
"Albania",1994,"male","75+ years","8.13","697"
"Albania",1994,"male","55-74 years","6.42","697"
"Albania",1994,"female","75+ years","5.01","697"
"Albania",1994,"male","25-34 years","2.59","697"
"Albania",1994,"male","35-54 years","2.48","697"
"Albania",1994,"male","15-24 years","2.48","697"
"Albania",1994,"female","15-24 years","2.12","697"
"Albania",1994,"female","25-34 years","1.53","697"
"Albania",1994,"female","35-54 years","0.58","697"
"Albania",1994,"female","55-74 years","0.57","697"
"Albania",1994,"male","5-14 years","0.27","697"
"Albania",1994,"female","5-14 years","0","697"
"Albania",1995,"male","25-34 years","5.58","835"
"Albania",1995,"male","55-74 years","5.06","835"
"Albania",1995,"female","75+ years","4.9","835"
"Albania",1995,"female","15-24 years","4.59","835"
"Albania",1995,"male","15-24 years","4.56","835"
"Albania",1995,"male","75+ years","3.98","835"
"Albania",1995,"male","35-54 years","3.72","835"
